"","x"
"1","2"
"2","2"
"3","2"
"4","4"
"5","2"
"6","4"
"7","1"
"8","2"
"9","2"
"10","1"
"11","1"
"12","2"
"13","1"
"14","3"
"15","3"
"16","2"
"17","2"
"18","2"
"19","3"
"20","2"
"21","3"
"22","2"
"23","3"
"24","3"
"25","2"
"26","2"
"27","3"
"28","3"
"29","2"
"30","3"
"31","3"
"32","3"
"33","3"
"34","3"
"35","3"
"36","3"
"37","1"
"38","3"
"39","3"
"40","3"
"41","3"
"42","3"
"43","3"
"44","3"
"45","3"
"46","3"
"47","3"
"48","3"
"49","3"
"50","3"
"51","3"
"52","3"
"53","3"
"54","2"
"55","2"
"56","3"
"57","3"
"58","3"
"59","2"
"60","1"
"61","2"
"62","1"
"63","3"
"64","3"
"65","1"
"66","3"
"67","1"
"68","3"
"69","1"
"70","2"
"71","1"
"72","1"
"73","1"
"74","3"
"75","1"
"76","1"
"77","1"
"78","2"
"79","2"
"80","2"
"81","2"
"82","2"
"83","2"
"84","1"
"85","1"
"86","2"
"87","2"
"88","2"
"89","2"
"90","1"
"91","1"
"92","1"
"93","2"
"94","2"
"95","2"
"96","3"
"97","3"
"98","3"
"99","2"
"100","3"
"101","2"
"102","2"
"103","2"
"104","3"
"105","2"
"106","3"
"107","3"
"108","2"
"109","2"
"110","2"
"111","3"
"112","2"
"113","3"
"114","2"
"115","2"
"116","2"
"117","2"
"118","2"
"119","2"
"120","2"
"121","2"
"122","2"
"123","2"
"124","2"
"125","3"
"126","1"
"127","3"
"128","3"
"129","2"
"130","2"
"131","4"
"132","2"
"133","2"
"134","3"
"135","2"
"136","2"
"137","2"
"138","2"
"139","3"
"140","2"
"141","2"
"142","1"
"143","1"
"144","2"
"145","2"
"146","2"
"147","1"
"148","1"
"149","3"
"150","3"
"151","1"
"152","2"
"153","3"
"154","2"
"155","2"
"156","3"
"157","2"
"158","2"
"159","2"
"160","1"
"161","2"
"162","2"
"163","2"
"164","4"
"165","2"
"166","3"
"167","2"
"168","3"
"169","2"
"170","1"
"171","2"
"172","2"
"173","2"
"174","2"
"175","2"
"176","2"
"177","2"
"178","2"
"179","3"
"180","1"
"181","2"
"182","2"
"183","2"
"184","2"
"185","2"
"186","1"
"187","2"
"188","4"
"189","2"
"190","2"
"191","2"
"192","2"
"193","2"
"194","1"
"195","3"
"196","3"
"197","1"
"198","2"
"199","3"
"200","3"
"201","1"
"202","3"
"203","2"
"204","2"
